    calls,  time,          h,                    rel-err 
  3281250   0.31   0.6400000000000000E+02  0.1998401444325282E-14
  3115014   0.29   0.6741510630110950E+02  0.1998401444325282E-14
  2957220   0.28   0.7101244621234210E+02  0.1887379141862766E-14
  2807406   0.26   0.7480174390791970E+02  0.1887379141862766E-14
  2665194   0.25   0.7879324245407463E+02  0.1998401444325282E-14
  2530185   0.24   0.8299773149766462E+02  0.2331468351712829E-14
  2402001   0.23   0.8742657643228132E+02  0.2331468351712829E-14
  2280327   0.21   0.9209174912069250E+02  0.3441691376337985E-14
  2164806   0.20   0.9700586025666546E+02  0.4440892098500626E-14
  2055144   0.20   0.1021821934536512E+03  0.6106226635438361E-14
  1951026   0.18   0.1076347411524755E+03  0.9214851104388799E-14
  1852200   0.17   0.1133782424451022E+03  0.1398881011027697E-13
  1758372   0.16   0.1194282229167114E+03  0.2142730437526552E-13
  1669290   0.15   0.1258010366137921E+03  0.3408384685599231E-13
  1584723   0.15   0.1325139102516963E+03  0.5440092820663267E-13
  1504440   0.15   0.1395849897811530E+03  0.8648637361829969E-13
  1428231   0.14   0.1470333894396205E+03  0.1371125435412068E-12
  1355886   0.12   0.1548792434200695E+03  0.2196021142708560E-12
  1287195   0.13   0.1631437602968655E+03  0.3479438959175241E-12
  1221990   0.12   0.1718492803558737E+03  0.5521139101460903E-12
  1160082   0.11   0.1810193359837562E+03  0.8860689959533374E-12
  1101324   0.11   0.1906787152797059E+03  0.1413313910347824E-11

