    calls,  time,        h,                    rel-err 
  1428084   0.24   0.3319909259906585E+03  0.1643130076445232E-13
  1331844   0.20   0.3620386719675124E+03  0.5018208071305708E-13
  1240992   0.19   0.3948059713044328E+03  0.1521005543736464E-12
  1181850   0.18   0.4305389646099018E+03  0.4409805853811122E-12
  1122144   0.17   0.4695060701207917E+03  0.1269651050961329E-11
  1068726   0.16   0.5120000000000000E+03  0.3686384530965370E-11
  1015086   0.15   0.5583399591246119E+03  0.1001776439579771E-10
   969048   0.15   0.6088740428813932E+03  0.2834266155105070E-10
   943788   0.14   0.6639818519813169E+03  0.7203748708661806E-10
   903726   0.14   0.7240773439350247E+03  0.2102240603818473E-09
   878886   0.13   0.7896119426088657E+03  0.5322776663874151E-09
   853830   0.13   0.8610779292198037E+03  0.1443677621892903E-08


